STATION,STATION_NAME,DATE,HPCP
COOP:200230,ANN ARBOR U OF MICH MI US,20000101 01:00,0.00
COOP:200230,ANN ARBOR U OF MICH MI US,20000102 12:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000102 19:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000103 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000103 16:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000103 17:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000109 08:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000109 14:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000110 10:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000113 01:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000113 06:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000118 04:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000119 23:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000120 05:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000129 18:00,999.99
COOP:200230,ANN ARBOR U OF MICH MI US,20000130 18:00,999.99
COOP:200230,ANN ARBOR U OF MICH MI US,20000201 01:00,0.00
COOP:200230,ANN ARBOR U OF MICH MI US,20000203 13:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000204 11:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000213 19:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000215 11:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000218 11:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000218 13:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000218 18:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000219 01:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000219 13:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000224 17:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000224 19:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000227 02:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000227 03:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000227 07:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000301 01:00,0.00
COOP:200230,ANN ARBOR U OF MICH MI US,20000314 14:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000315 19:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000315 21:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000316 00:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000316 07:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000319 15:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000319 20:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000320 09:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000320 14:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000320 19:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000327 06:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000401 01:00,0.00
COOP:200230,ANN ARBOR U OF MICH MI US,20000401 18:00,0.10
COOP:200230,ANN ARBOR U OF MICH MI US,20000407 10:00,0.10
