"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN","TOBS"
"USC00200228","ANN ARBOR SE, MI US","2003-04-01","0.00","0.0",,,,
"USC00200228","ANN ARBOR SE, MI US","2003-04-02","0.00","0.0",,,,
"USC00200228","ANN ARBOR SE, MI US","2003-04-03","0.00","0.0",,,,
"USC00200228","ANN ARBOR SE, MI US","2003-04-04","0.00","0.0",,,,
"USC00200228","ANN ARBOR SE, MI US","2003-04-05","0.00","0.0",,,,
"USC00200228","ANN ARBOR SE, MI US","2003-04-06","0.00","0.0",,,,
"USC00200228","ANN ARBOR SE, MI US","2003-04-07","0.00","0.0",,,,
"USC00200228","ANN ARBOR SE, MI US","2003-04-08","0.00","0.0",,,,
"USC00200228","ANN ARBOR SE, MI US","2003-04-09","0.00","0.0",,,,
"USC00200228","ANN ARBOR SE, MI US","2003-04-10","0.00","0.0",,,,
"USC00200228","ANN ARBOR SE, MI US","2003-04-11","0.00","0.0",,,,
"USC00200228","ANN ARBOR SE, MI US","2003-04-12","0.00","0.0",,,,
"USC00200228","ANN ARBOR SE, MI US","2003-04-13","0.00","0.0",,,,
"USC00200228","ANN ARBOR SE, MI US","2003-04-14","0.00","0.0",,,,
"USC00200228","ANN ARBOR SE, MI US","2003-04-15","0.00","0.0",,,,
"USC00200228","ANN ARBOR SE, MI US","2003-04-16","0.00","0.0",,"84","51","53"
"USC00200228","ANN ARBOR SE, MI US","2003-04-17","0.08","0.0",,"70","34","34"
"USC00200228","ANN ARBOR SE, MI US","2003-04-18","0.14","0.0",,"52","34","44"
"USC00200228","ANN ARBOR SE, MI US","2003-04-19","0.00","0.0",,"61","44","46"
"USC00200228","ANN ARBOR SE, MI US","2003-04-20","0.00","0.0",,"70","46","56"
"USC00200228","ANN ARBOR SE, MI US","2003-04-21","0.62","0.0",,"74","48","51"
"USC00200228","ANN ARBOR SE, MI US","2003-04-22","0.03","0.0",,"57","35","35"
"USC00200228","ANN ARBOR SE, MI US","2003-04-23","0.00","0.0",,"47","29","29"
"USC00200228","ANN ARBOR SE, MI US","2003-04-24","0.00","0.0",,"58","27","28"
"USC00200228","ANN ARBOR SE, MI US","2003-04-25","0.00","0.0",,"64","28","32"
"USC00200228","ANN ARBOR SE, MI US","2003-04-26","0.00","0.0",,"66","32","36"
"USC00200228","ANN ARBOR SE, MI US","2003-04-27","0.00","0.0",,"62","29","31"
"USC00200228","ANN ARBOR SE, MI US","2003-04-28","0.00","0.0",,"72","31","52"
"USC00200228","ANN ARBOR SE, MI US","2003-04-29","0.00","0.0",,"79","39","41"
"USC00200228","ANN ARBOR SE, MI US","2003-04-30","0.00","0.0",,"66","49","51"
"USC00200228","ANN ARBOR SE, MI US","2003-05-01","0.94","0.0",,"62","50","55"
"USC00200228","ANN ARBOR SE, MI US","2003-05-02","0.57","0.0",,"75","48","48"
"USC00200228","ANN ARBOR SE, MI US","2003-05-03","0.02","0.0",,"57","35","38"
"USC00200228","ANN ARBOR SE, MI US","2003-05-04","0.00","0.0",,"62","30","33"
"USC00200228","ANN ARBOR SE, MI US","2003-05-05","0.59","0.0",,"67","33","51"
"USC00200228","ANN ARBOR SE, MI US","2003-05-06","0.03","0.0",,"77","47","55"
"USC00200228","ANN ARBOR SE, MI US","2003-05-07","0.00","0.0",,"73","46","49"
"USC00200228","ANN ARBOR SE, MI US","2003-05-08","0.28","0.0",,"56","47","50"
"USC00200228","ANN ARBOR SE, MI US","2003-05-09","0.51","0.0",,"65","45","46"
"USC00200228","ANN ARBOR SE, MI US","2003-05-10","0.37","0.0",,"71","46","61"
"USC00200228","ANN ARBOR SE, MI US","2003-05-11","0.06","0.0",,"75","61","66"
"USC00200228","ANN ARBOR SE, MI US","2003-05-12","0.25","0.0",,"66","44","44"
"USC00200228","ANN ARBOR SE, MI US","2003-05-13","0.01","0.0",,"50","44","45"
"USC00200228","ANN ARBOR SE, MI US","2003-05-14","0.00","0.0",,"67","34","40"
"USC00200228","ANN ARBOR SE, MI US","2003-05-15","0.21","0.0",,"73","40","49"
"USC00200228","ANN ARBOR SE, MI US","2003-05-16","0.11","0.0",,"56","44","52"
"USC00200228","ANN ARBOR SE, MI US","2003-05-17","0.00","0.0",,"67","50","52"
"USC00200228","ANN ARBOR SE, MI US","2003-05-18","0.00","0.0",,"72","49","51"
"USC00200228","ANN ARBOR SE, MI US","2003-05-19","0.00","0.0",,"68","51","57"
"USC00200228","ANN ARBOR SE, MI US","2003-05-20","0.11","0.0",,"73","57","64"
"USC00200228","ANN ARBOR SE, MI US","2003-05-21","0.02","0.0",,"71","39","44"
"USC00200228","ANN ARBOR SE, MI US","2003-05-22","0.00","0.0",,"61","34","43"
"USC00200228","ANN ARBOR SE, MI US","2003-05-23","0.00","0.0",,"67","37","44"
"USC00200228","ANN ARBOR SE, MI US","2003-05-24","0.00","0.0",,"63","41","43"
"USC00200228","ANN ARBOR SE, MI US","2003-05-25","0.01","0.0",,"58","39","45"
"USC00200228","ANN ARBOR SE, MI US","2003-05-26","0.00","0.0",,"66","42","50"
"USC00200228","ANN ARBOR SE, MI US","2003-05-27","0.00","0.0",,"67","42","49"
"USC00200228","ANN ARBOR SE, MI US","2003-05-28","0.17","0.0",,"69","49","49"
"USC00200228","ANN ARBOR SE, MI US","2003-05-29","0.05","0.0",,"74","49","53"
"USC00200228","ANN ARBOR SE, MI US","2003-05-30","0.02","0.0",,"76","48","53"
"USC00200228","ANN ARBOR SE, MI US","2003-05-31","0.88","0.0",,"72","52","52"
"USC00200228","ANN ARBOR SE, MI US","2003-06-01","0.07","0.0",,"57","37","42"
"USC00200228","ANN ARBOR SE, MI US","2003-06-02","0.00","0.0",,"66","40","49"
"USC00200228","ANN ARBOR SE, MI US","2003-06-03","0.00","0.0",,"73","49","52"
"USC00200228","ANN ARBOR SE, MI US","2003-06-04","0.09","0.0",,"62","50","50"
"USC00200228","ANN ARBOR SE, MI US","2003-06-05","0.23","0.0",,"55","50","51"
"USC00200228","ANN ARBOR SE, MI US","2003-06-06","0.00","0.0",,"70","44","52"
"USC00200228","ANN ARBOR SE, MI US","2003-06-07","0.00","0.0",,"77","52","58"
"USC00200228","ANN ARBOR SE, MI US","2003-06-08","0.00","0.0",,"79","52","56"
"USC00200228","ANN ARBOR SE, MI US","2003-06-09","0.46","0.0",,"70","52","56"
"USC00200228","ANN ARBOR SE, MI US","2003-06-10","0.00","0.0",,"74","48","54"
"USC00200228","ANN ARBOR SE, MI US","2003-06-11","0.04","0.0",,"74","54","66"
"USC00200228","ANN ARBOR SE, MI US","2003-06-12","0.15","0.0",,"81","58","58"
"USC00200228","ANN ARBOR SE, MI US","2003-06-13","0.46","0.0",,"63","57","57"
"USC00200228","ANN ARBOR SE, MI US","2003-06-14","0.00","0.0",,"65","57","62"
"USC00200228","ANN ARBOR SE, MI US","2003-06-15","0.00","0.0",,"82","53","60"
