"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00200228","ANN ARBOR SE, MI US","2017-01-01",,"47","20","21"
"USC00200228","ANN ARBOR SE, MI US","2017-01-02",,"41","20","27"
"USC00200228","ANN ARBOR SE, MI US","2017-01-03",,"41","27","38"
"USC00200228","ANN ARBOR SE, MI US","2017-01-04",,"44","23","23"
"USC00200228","ANN ARBOR SE, MI US","2017-01-05",,"23","16","16"
"USC00200228","ANN ARBOR SE, MI US","2017-01-06",,"17","3","3"
"USC00200228","ANN ARBOR SE, MI US","2017-01-07",,"13","3","5"
"USC00200228","ANN ARBOR SE, MI US","2017-01-08",,"15","5","6"
"USC00200228","ANN ARBOR SE, MI US","2017-01-09",,"18","6","17"
"USC00200228","ANN ARBOR SE, MI US","2017-01-10",,"31","17","31"
"USC00200228","ANN ARBOR SE, MI US","2017-01-11",,"47","27","28"
"USC00200228","ANN ARBOR SE, MI US","2017-01-12",,"55","28","34"
"USC00200228","ANN ARBOR SE, MI US","2017-01-13",,"34","18","18"
"USC00200228","ANN ARBOR SE, MI US","2017-01-14",,"26","18","22"
"USC00200228","ANN ARBOR SE, MI US","2017-01-15",,"32","15","15"
"USC00200228","ANN ARBOR SE, MI US","2017-01-16",,"33","15","22"
"USC00200228","ANN ARBOR SE, MI US","2017-01-17",,"34","22","33"
"USC00200228","ANN ARBOR SE, MI US","2017-01-18",,"46","33","35"
"USC00200228","ANN ARBOR SE, MI US","2017-01-19",,"41","32","33"
"USC00200228","ANN ARBOR SE, MI US","2017-01-20",,"38","33","33"
"USC00200228","ANN ARBOR SE, MI US","2017-01-21",,"42","33","40"
"USC00200228","ANN ARBOR SE, MI US","2017-01-22",,"59","40","41"
"USC00200228","ANN ARBOR SE, MI US","2017-01-23",,"51","41","41"
"USC00200228","ANN ARBOR SE, MI US","2017-01-24",,"44","37","37"
"USC00200228","ANN ARBOR SE, MI US","2017-01-25",,"40","34","35"
"USC00200228","ANN ARBOR SE, MI US","2017-01-26",,"46","34","34"
