"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-01","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-02","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-03","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-04","0.05"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-05","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-06","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-07","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-08","0.25"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-09","0.01"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-10","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-11","0.04"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-12","0.15"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-13","0.21"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-14","0.01"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-15","0.02"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-16","0.10"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-17","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-18","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-19","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-20","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-21","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-22","0.22"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-23","0.34"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-24","0.02"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-25","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-26","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-27","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-28","0.02"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-29","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-30","0.16"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-01-31","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-01","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-02","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-03","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-04","0.08"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-05","0.23"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-06","0.09"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-07","0.14"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-08","0.04"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-09","0.14"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-10","0.53"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-11","0.21"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-12","0.17"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-13","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-14","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-15","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-16","0.09"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-17","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-18","0.01"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-19","0.02"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-20","1.53"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-21","0.90"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-22","0.09"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-23","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-24","0.12"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-25","0.06"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-26","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-27","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-02-28","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-01","0.07"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-02","1.73"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-03","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-04","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-05","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-06","0.01"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-07","0.28"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-08","0.10"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-09","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-10","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-11","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-12","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-13","0.06"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-14","0.01"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-15","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-16","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-17","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-18","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-19","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-20","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-21","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-22","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-23","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-24","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-25","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-26","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-27","0.20"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-28","0.28"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-29","0.11"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-30","0.32"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-03-31","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-01","0.19"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-02","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-03","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-04","0.79"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-05","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-06","0.14"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-07","0.01"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-08","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-09","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-10","0.03"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-11","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-12","0.07"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-13","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-14","0.31"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-15","0.99"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-16","0.71"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-17","0.06"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-18","0.05"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-19","0.04"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-20","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-21","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-22","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-23","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-24","0.02"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-25","0.16"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-26","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-27","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-28","0.20"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-29","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-04-30","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-01","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-02","0.00"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-03","0.79"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2018-05-04","0.44"
