Catalog Number	Species	Collector	Collection Date	Location
88	1100992 Phegopteris hexagonoptera 		 Thelypteridaceae	Mark W. Harrington	s.n.: 00/00/00
102	1101013 Selaginella eclipes 		 Selaginellaceae	Elizabeth C. Almendinger	s.n.: 00/00/00
104	1103024 Adiantum pedatum 		 Pteridaceae	Edwin B. Mains	s.n.: 07/00/1913
1504	1100639 Cystopteris protrusa 		 Cystopteridaceae	Elizabeth C. Almendinger	s.n.: 00/00/00
1505	1100641 Cystopteris protrusa 		 Cystopteridaceae	Mary H. Clark	s.n.: 00/00/00
46936	1101506 Equisetum hyemale 		 Equisetaceae	Richard L. Hauke	90: 03/13/1957
46952	1101917 Adiantum pedatum 		 Pteridaceae	Elizabeth C. Almendinger	s.n.: 06/29/1861
47029	1103876 Onoclea sensibilis 		 Onocleaceae	Calvin H. Kauffman	s.n.: 08/00/1913
47079	1103946 Onoclea sensibilis 		 Onocleaceae	Calvin H. Kauffman	s.n.: 08/00/1913
47189	1100521 Cystopteris bulbifera 		 Cystopteridaceae	L. Thomas	s.n.: 08/00/1909
47193	1100105 Osmundastrum cinnamomeum 		 Osmundaceae	Hattie M. Bailey	s.n.: 06/11/1893
47194	1101563 Equisetum laevigatum 		 Equisetaceae	Richard L. Hauke	104: 05/22/1957
47428	1100178 Osmunda claytoniana 		 Osmundaceae	John H. Ehlers	5036: 06/01/1932
47455	1003359 Thelypteris palustris 		 Thelypteridaceae	Edwin B. Mains	s.n.: 07/00/1913
47477	1100637 Cystopteris protrusa 		 Cystopteridaceae	Warren H. Wagner, Jr.	8073: 05/27/1955
47644	1100634 Cystopteris protrusa 		 Cystopteridaceae	Warren H. Wagner, Jr.	8072: 05/27/1955
48410	1103643 Homalosorus pycnocarpos 		 Diplaziopsidaceae	A.B. Lyons, M.D.	s.n.: 00/00/1868
48414	1103507 Thelypteris noveboracensis 		 Thelypteridaceae	Edwin B. Mains	s.n.: 07/28/1913
49599	1100638 Cystopteris protrusa 		 Cystopteridaceae	Betty M. Robertson	454: 06/28/1940
49674	1100218 Osmunda claytoniana 		 Osmundaceae	Elizabeth C. Almendinger	s.n.: 06/08/1861
