"STATION","NAME","DATE","TMAX","TMIN"
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-01",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-02",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-03",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-04",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-05",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-06",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-07",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-08",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-09",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-10",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-11",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-12",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-13",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-14",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-15",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-16",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-17",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-18",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-19",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-20",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-21",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-22",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-23",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-24",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-25",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-26",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-27",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-28",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-29",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-30",,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","2018-12-31",,
"USC00200228","ANN ARBOR SE, MI US","2018-12-01","43","26"
"USC00200228","ANN ARBOR SE, MI US","2018-12-02","48","33"
"USC00200228","ANN ARBOR SE, MI US","2018-12-03","57","34"
"USC00200228","ANN ARBOR SE, MI US","2018-12-04","35","27"
"USC00200228","ANN ARBOR SE, MI US","2018-12-05","34","20"
"USC00200228","ANN ARBOR SE, MI US","2018-12-06","32","20"
